recipeId,title,cuisineId,archetype,suitableFor,keyIngredients,currentImageUrl,imageStatus,visualDescription,targetFilename
"rec_wave1_chickpea_curry_01","Simple Coconut Chickpea & Spinach Curry","unknown","Batch_Cook","dinner, lunch","Simple Coconut Chickpea & Spinach Curry","https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?q=80&w=800&auto=format&fit=crop","placeholder","Professional gourmet food photography of Simple Coconut Chickpea & Spinach Curry, featuring Simple Coconut Chickpea & Spinach Curry. Natural lighting, overhead shot.","recipe_rec_wave1_chickpea_curry_01.webp"
"rec_wave1_cod_veg_01","Baked Cod with Roasted Mediterranean Vegetables","unknown","premium_meal","dinner","Baked Cod with Roasted Mediterranean Vegetables","https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Baked Cod with Roasted Mediterranean Vegetables, featuring Baked Cod with Roasted Mediterranean Vegetables. Natural lighting, overhead shot.","recipe_rec_wave1_cod_veg_01.webp"
"rec_wave1_garlic_prawns_01","Garlic Butter Prawns & Zucchini Noodles","unknown","Variety_Pack","dinner","Garlic Butter Prawns & Zucchini Noodles","https://images.unsplash.com/photo-1551183053-bf91a1d81141?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Garlic Butter Prawns & Zucchini Noodles, featuring Garlic Butter Prawns & Zucchini Noodles. Natural lighting, overhead shot.","recipe_rec_wave1_garlic_prawns_01.webp"
"w2_r1_lamb","Slow-Roast Lamb Shoulder with Roots","unknown","premium_meal","dinner","lamb shoulder, potato","","missing","Professional gourmet food photography of Slow-Roast Lamb Shoulder with Roots, featuring lamb shoulder, potato. Natural lighting, overhead shot.","recipe_w2_r1_lamb.webp"
"w2_r2_risotto","Wild Mushroom & Truffle Risotto","unknown","premium_meal","dinner","arborio rice, mixed mushrooms","","missing","Professional gourmet food photography of Wild Mushroom & Truffle Risotto, featuring arborio rice, mixed mushrooms. Natural lighting, overhead shot.","recipe_w2_r2_risotto.webp"
"w2_r3_sausage_tray","Sheet Pan Sausage & Sweet Potato","unknown","Batch_Cook","dinner, lunch","sausage, sweet potato","","missing","Professional gourmet food photography of Sheet Pan Sausage & Sweet Potato, featuring sausage, sweet potato. Natural lighting, overhead shot.","recipe_w2_r3_sausage_tray.webp"
"w2_r4_caprese_chicken","Oven-Baked Caprese Chicken & Veg","unknown","Batch_Cook","dinner, lunch","chicken breast, mozzarella","","missing","Professional gourmet food photography of Oven-Baked Caprese Chicken & Veg, featuring chicken breast, mozzarella. Natural lighting, overhead shot.","recipe_w2_r4_caprese_chicken.webp"
"w2_r5_lentil_stew","Hearty Lentil & Vegetable Stew","unknown","budget_workhorse","dinner, lunch","green lentils, vegetable stock","","missing","Professional gourmet food photography of Hearty Lentil & Vegetable Stew, featuring green lentils, vegetable stock. Natural lighting, overhead shot.","recipe_w2_r5_lentil_stew.webp"
"w2_r6_black_bean_quinoa","Spicy Black Bean & Quinoa Bowl","unknown","Variety_Pack","dinner, lunch","black beans, quinoa","","missing","Professional gourmet food photography of Spicy Black Bean & Quinoa Bowl, featuring black beans, quinoa. Natural lighting, overhead shot.","recipe_w2_r6_black_bean_quinoa.webp"
"w2_r7_chickpea_sandwich","Smashed Chickpea & Dill Sandwich","unknown","budget_workhorse","lunch","chickpeas, whole wheat bread","","missing","Professional gourmet food photography of Smashed Chickpea & Dill Sandwich, featuring chickpeas, whole wheat bread. Natural lighting, overhead shot.","recipe_w2_r7_chickpea_sandwich.webp"
"w2_r8_egg_salad_wrap","Quick Egg Salad Lettuce Wraps","unknown","budget_workhorse","lunch","egg, gem lettuce","","missing","Professional gourmet food photography of Quick Egg Salad Lettuce Wraps, featuring egg, gem lettuce. Natural lighting, overhead shot.","recipe_w2_r8_egg_salad_wrap.webp"
"w3_smoothie_01","Peanut Butter Maca Smoothie","unknown","Variety_Pack","breakfast","Peanut Butter Maca Smoothie","https://images.unsplash.com/photo-1556767576-5ec41e3239ea?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Peanut Butter Maca Smoothie, featuring Peanut Butter Maca Smoothie. Natural lighting, overhead shot.","recipe_w3_smoothie_01.webp"
"w3_crispbread_01","Smoked Salmon & Cream Cheese Crispbreads","unknown","protein_breakfast","breakfast, lunch","Smoked Salmon & Cream Cheese Crispbreads","https://images.unsplash.com/photo-1541519227354-08fa5d50c44d?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Smoked Salmon & Cream Cheese Crispbreads, featuring Smoked Salmon & Cream Cheese Crispbreads. Natural lighting, overhead shot.","recipe_w3_crispbread_01.webp"
"w3_seabass_01","Pan-Seared Sea Bass with Asparagus","unknown","Variety_Pack","dinner","Pan-Seared Sea Bass with Asparagus","https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Pan-Seared Sea Bass with Asparagus, featuring Pan-Seared Sea Bass with Asparagus. Natural lighting, overhead shot.","recipe_w3_seabass_01.webp"
"w3_tuna_pasta_01","Spicy Tuna & Cherry Tomato Linguine","unknown","Staple","dinner, lunch","Spicy Tuna & Cherry Tomato Linguine","https://images.unsplash.com/photo-1473093226795-af9932fe5856?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Spicy Tuna & Cherry Tomato Linguine, featuring Spicy Tuna & Cherry Tomato Linguine. Natural lighting, overhead shot.","recipe_w3_tuna_pasta_01.webp"
"w3_halloumi_pan_01","15-Min Halloumi & Mediterranean Veg Pan","unknown","Quick_Fix","lunch, dinner","15-Min Halloumi & Mediterranean Veg Pan","https://images.unsplash.com/photo-1565557612088-71eab05dfaee?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of 15-Min Halloumi & Mediterranean Veg Pan, featuring 15-Min Halloumi & Mediterranean Veg Pan. Natural lighting, overhead shot.","recipe_w3_halloumi_pan_01.webp"
"w3_chicken_soup_01","Quick Chicken & Sweetcorn Noodle Soup","unknown","Quick_Fix","lunch, dinner","Quick Chicken & Sweetcorn Noodle Soup","https://images.unsplash.com/photo-1547592166-23ac45744acd?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Quick Chicken & Sweetcorn Noodle Soup, featuring Quick Chicken & Sweetcorn Noodle Soup. Natural lighting, overhead shot.","recipe_w3_chicken_soup_01.webp"
"w3_beef_ragu_01","Slow-Cooked Beef Ragu with Pappardelle","unknown","premium_meal","dinner","Slow-Cooked Beef Ragu with Pappardelle","https://images.unsplash.com/photo-1546272989-40c929af9c66?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Slow-Cooked Beef Ragu with Pappardelle, featuring Slow-Cooked Beef Ragu with Pappardelle. Natural lighting, overhead shot.","recipe_w3_beef_ragu_01.webp"
"w3_miso_aubergine_01","Roasted Aubergine & Miso Traybake","unknown","Batch_Cook","dinner, lunch","Roasted Aubergine & Miso Traybake","https://images.unsplash.com/photo-1545093149-618ce3bcf49d?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Roasted Aubergine & Miso Traybake, featuring Roasted Aubergine & Miso Traybake. Natural lighting, overhead shot.","recipe_w3_miso_aubergine_01.webp"
